MES;FECHA;LÍNEAS DE TRABAJO - COMPONENTE;VERIFICACIÓN;ACCIONES;NOMBRE INSTITUCION/EMPRESA/EVENTO;PUBLICO OBJETIVO;TIPO EMPRESA/INSTITUCION/EVENTO;DIRECCION;COD_COMUNA;COMUNA;BARRIO;TOTAL PERSONAS SENSIBILIZADAS;TOTAL MUJER;TOTAL HOMBRE;MUJER NIÑO (6 a 13 años);MUJER JOVEN (14 a 28 años);MUJER ADULTO (29 a 59 años);MUJER PERSONA MAYOR (60  años y más);MUJER PEATÓN;MUJER MOTOCICLISTA;MUJER CONDUCTOR;MUJER ACOMPAÑANTE Y/O PASAJERO;HOMBRE_JOVEN_(14_A_28_ANOS);HOMBRE ADULTO (29 A 59 ANOS);HOMBRE_PERSONA_MAYOR_(60_ANOS_Y_MÁS);HOMBRE_PEATON;HOMBRE_CICLISTA;HOMBRE_MOTOCICLISTA;HOMBRE_CONDUCTOR;HOMBRE_ACOMPANANTE_ Y/O_ PASAJERO;No. DE PROFESIONALES VINCULADOS;No. DE AUXILIARES VINCULADOS;No. DE PROFESIONALES CONTRATISTAS;No. DE AUXILIARES CONTRATISTAS;NO. HORAS LABORADAS EN ACTIVIDAD
Marzo;2019-03-12T05:00:00.000Z;Contacto_Ciudadano_Priorización_de_Publicos_y_Lugares;Contacto_Priorizacion;Buen_Parqueo;Secretaría de Movilidad;Actores Viales en General;Sitio Buen Parqueo;Cl 35 46 63;10;La_Candelaria;Perpetuo Socorro;213;28;185;0;2;26;0;15;15;12;0;1;66;116;3;84;0;54;47;0;0;0;2;8
Marzo;2019-03-12T05:00:00.000Z;Contacto_Ciudadano_Priorización_de_Publicos_y_Lugares;Contacto_Priorizacion;Otros_Contacto_Ciudadano;Socialización Redes Camineras - Movilidad Humana;Actores Viales en General;Intervención en Vía;Cr 86 43 1;4;Aranjuez;Las Esmeraldas;163;82;81;10;31;20;21;82;82;0;0;0;20;33;23;81;0;0;0;0;0;0;1;4
Marzo;2019-03-13T05:00:00.000Z;Contacto_Ciudadano_Priorización_de_Publicos_y_Lugares;Contacto_Priorizacion;Otros_Contacto_Ciudadano;Socialización Redes Camineras - METROPLÚS;Actores Viales en General;Intervención en Vía;Cr 83 30 1;16;Belen;Los Alpes;216;118;98;4;13;76;25;113;113;2;0;3;41;46;8;80;0;13;2;3;0;0;1;5
Marzo;2019-03-14T05:00:00.000Z;Contacto_Ciudadano_Priorización_de_Publicos_y_Lugares;Contacto_Priorizacion;Socializacion_Proyectos_Movilidad_Conglomerado_Publico_Externo;Colegio Antares;Personal Administrativo ó Gerencial;Instituciones Educativas No Oficiales;Cr 88A 68 135;7;Robledo;Bello Horizonte;3;2;1;0;0;2;0;0;0;0;1;1;0;1;0;0;0;0;1;0;0;1;0;0
Marzo;2019-03-14T05:00:00.000Z;Curso_de_Amonestados;Curso;Taller_Formativo_Curso_de_Amonestados;Secretaría de Movilidad;Infractores;Secretaría de Movilidad;Cr 64 C 72 58;5;Castilla;Caribe;30;4;26;0;2;2;0;0;0;1;3;0;6;20;0;0;0;11;15;0;1;0;0;0
Marzo;2019-03-18T05:00:00.000Z;Incidencia_y_Gestion_Ejecucion_de_Experiencias;Incidencia;Festival_por_el_Compromiso_Vial;Inder;Actores Viales en General;Entidades Públicas;Cl 47 D 75 276;11;Laureles_Estadio;El Velódromo;249;148;101;4;10;134;0;148;148;0;0;0;6;94;1;101;0;0;0;0;0;0;3;14
Marzo;2019-03-19T05:00:00.000Z;Contacto_Ciudadano_Priorización_de_Publicos_y_Lugares;Contacto_Priorizacion;Otros_Contacto_Ciudadano;Articulación METRO PLUS - Socialización redes camineras;Actores Viales en General;Intervención en Vía;Cr 45 66 1;4;Aranjuez;Manrique Central N° 1;68;39;29;0;1;36;2;38;38;1;0;0;3;22;3;26;0;1;2;0;0;0;1;2
Marzo;2019-03-19T05:00:00.000Z;Contacto_Ciudadano_Priorización_de_Publicos_y_Lugares;Contacto_Priorizacion;Buen_Parqueo;Secretaría de Movilidad;Actores Viales en General;Sitio Buen Parqueo;Cr 43 B 16 A  1;14;Poblado;Villa Carlota;147;19;128;0;5;14;0;0;0;0;11;8;66;62;0;0;0;56;58;14;0;0;2;4
Marzo;2019-03-20T05:00:00.000Z;Contacto_Ciudadano_Priorización_de_Publicos_y_Lugares;Contacto_Priorizacion;Socializacion_Proyectos_Movilidad_Conglomerado_Publico_Externo;Secretaría de Gobierno de Medellín;Promotores Sociales;Entidades Gubernamentales;Cl 104 B 48 60;2;Santa_Cruz;Villa del Socorro;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0
Marzo;2019-03-20T05:00:00.000Z;Experiencias_Ciudadanas_Empresas;Experiencias_Empresas;Taller_Formativo_Empresas_Moto_Como_Herramienta_de_Trabajo_CON_PESV;Domina Entrega Total S.A.S;Motociclistas;Empresas de Mensajería;Cr 52 A 12 47;15;Guayabal;Campo Amor;114;5;109;0;2;3;0;0;0;5;0;0;59;50;0;0;0;109;0;0;0;0;1;0
